ModelxMeasure;TP;TN;FP;FN;TError_I;TError_II;ACC;SENS;SPEC;BS;AUC;KS;CV_ACC_Mean;CV_AUC_Mean;Sector;Dataset;ModelScope;SplitYear;TrainRows;TestRows;TrainRowsUsed;TestRowsScored
XGB;0.0;245.0;67.0;3.0;21.47;100.0;0.7777777777777778;0.0;0.7852564102564102;0.16255129873752594;0.7297008547008547;0.6923076923076923;0.6595588235294118;0.7128472222222222;Consumer Non-Cyclicals;dataset43;sector_only;2015;1455;315;82;315
XGB;1.0;256.0;56.0;2.0;17.95;66.67;0.8158730158730159;0.3333333333333333;0.8205128205128205;0.15195684134960175;0.5064102564102564;0.22756410256410253;0.7622222222222222;0.8399012345679013;Consumer Non-Cyclicals;dataset43;global_on_sector_test;2015;7065;315;450;315
XGB;1.0;83.0;4.0;1.0;4.6;50.0;0.9438202247191011;0.5;0.9540229885057471;0.05776386708021164;0.9655172413793104;0.9540229885057472;0.9527777777777778;0.95875;Energy;dataset11;sector_only;2015;209;89;42;89
XGB;2.0;75.0;12.0;0.0;13.79;0.0;0.8651685393258427;1.0;0.8620689655172413;0.10681046545505524;0.9885057471264368;0.9770114942528736;0.9298873101420873;0.9610590966968766;Energy;dataset11;global_on_sector_test;2015;7086;89;784;89
XGB;30.0;36.0;6.0;4.0;14.29;11.76;0.868421052631579;0.8823529411764706;0.8571428571428571;0.10416840016841888;0.9488795518207284;0.7759103641456582;0.8570075757575758;0.9395220588235293;Energy;dataset21;sector_only;2015;164;76;162;76
XGB;32.0;36.0;6.0;2.0;14.29;5.88;0.8947368421052632;0.9411764705882353;0.8571428571428571;0.0767647847533226;0.9817927170868347;0.8879551820728291;0.8646601941747573;0.9363121877651052;Energy;dataset21;global_on_sector_test;2015;5531;76;5150;76
XGB;34.0;43.0;10.0;2.0;18.87;5.56;0.8651685393258427;0.9444444444444444;0.8113207547169812;0.11078150570392609;0.9549266247379455;0.8034591194968553;0.8423423423423424;0.9131254061078623;Energy;dataset31;sector_only;2015;210;89;184;89
XGB;34.0;41.0;12.0;2.0;22.64;5.56;0.8426966292134831;0.9444444444444444;0.7735849056603774;0.11208100616931915;0.9669811320754718;0.8055555555555556;0.8767469869818292;0.9451688920326236;Energy;dataset31;global_on_sector_test;2015;7094;89;5574;89
XGB;0.0;72.0;17.0;0.0;19.1;;0.8089887640449438;;0.8089887640449438;0.1261453777551651;;;0.7;0.825;Energy;dataset41;sector_only;2015;210;89;20;89
XGB;0.0;77.0;12.0;0.0;13.48;;0.8651685393258427;;0.8651685393258427;0.132158562541008;;;0.9472222222222222;0.9655864197530863;Energy;dataset41;global_on_sector_test;2015;7094;89;360;89
XGB;0.0;63.0;5.0;0.0;7.35;;0.9264705882352942;;0.9264705882352942;0.06486253440380096;;;0.8444444444444444;0.9;Energy;dataset12;sector_only;2015;208;68;46;68
